"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"83","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__dispar",NA,NA,1.82268449297383,NA,NA,NA,NA,-4.12335208959888,NA,NA,NA,-3.2105816385388,NA,-5.25102847019809,NA,NA,NA,NA,NA,NA
"84","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula",NA,NA,NA,NA,NA,NA,NA,NA,-1.84301308338868,-0.594093768366581,-0.441671171051164,NA,NA,NA,NA,-0.501479626480939,NA,-0.488985294729927,NA,NA
"85","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium..s__dolichum",NA,-8.76636095909664,-7.04244442459161,-11.0292253135522,-11.3425335352257,16.4870523548134,12.6106292614784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.325256757201195,-0.40256838178264,0.572580716076343,NA,NA,NA,NA,NA
"87","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Clostridium.s__spiroforme",NA,NA,NA,NA,NA,4.12452155110887,NA,NA,NA,-1.58172386883381,NA,NA,NA,NA,NA,NA,NA,-1.12153719804316,-0.849156858650396,NA
"88","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.842295257162904,NA,NA,NA,NA,NA,NA,NA
"89","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila.s__",NA,13.1145348813347,-7.28560197905391,18.3614254179806,NA,NA,NA,9.66272037598133,NA,NA,NA,0.227028126735485,NA,0.297938149174188,NA,NA,NA,NA,NA,NA
"90","k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.395620180153228,NA,1.49069480572474,-0.970390070991955,NA,NA,NA,NA,-0.328165747863298,NA,NA
"91","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.48271834967538,NA,NA,NA,NA
"92","Unassigned.__.__.__.__.__.__",NA,0.128055030152348,NA,0.228454525364302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0197717555384715,NA,NA,NA,0.122215462604764
